NAME,Log_Lbol,Log_lbol_errminus,Log_lbol_errplus,Log_bhm_civ,Log_bhm_civ_errminus,Log_bhm_civ_errplus,Log_bhm_mgii,Log_bhm_mgii_errminus,Log_bhm_mgii_errplus,edd_civ,edd_civ_errminus,edd_civ_errplus,edd_mgii,edd_mgii_errminus,edd_mgii_errplus,Vmax,Vmax_errminus,Vmax_errplus,BAL_status,status,EHVO_Status,,AVGLog_lbol_errminus,AVGLog_lbol_errplus,AVGLog_bhm_civ_errminus,AVGLog_bhm_civ_errplus,Log_edd_civ_errminus,Log_edd_civ_errplus,AVGLog_edd_civ_errminus,AVGLog_edd_civ_errplus,,8,-1.25,46.25
PSOJ065+01,47.2,0.1,0.08,8.27,0.67,0.25,9.6,0.17,0.12,6.63,5.37,5.37,0.31,0.12,0.12,38610,140,220,BAL,EHVO,Y,,,,,,-0.721142983,0.257667718,,,,,,
PSOJ089-15,47.57,0.06,0.05,8.99,0.29,0.17,9.57,0.1,0.08,2.94,1.48,1.48,0.77,0.18,0.18,30360,160,840,BAL,EHVO,Y,,,,,,-0.303994475,0.177074939,,,,,,
PSOJ108+08,47.46,0.13,0.1,9.48,0.12,0.09,9.49,0.1,0.08,0.74,0.26,0.26,0.72,0.24,0.24,,,,nBAL,nBAL,N/A,,,,,,-0.187990482,0.13076828,,,,,,
SDSSJ0842+1218,47.25,0.05,0.05,9.3,0.05,0.04,9.3,0.09,0.07,0.68,0.11,0.11,0.68,0.15,0.15,27380,90,140,BAL,BAL,N,,,,,,-0.076634057,0.065118179,,,,,,
J0923+0402,47.51,0.08,0.07,9.11,0.08,0.07,9.42,0.24,0.16,1.92,0.45,0.45,0.95,0.44,0.44,29550,230,250,BAL,BAL,N,,,,,,-0.115983894,0.091447117,,,,,,
PSOJ158-14,47.56,0.13,0.1,9.52,0.38,0.38,9.31,0.09,0.07,0.85,1.19,1.19,1.37,0.42,0.42,,,,nBAL,nBAL,N/A,,,,,,,0.380211242,,,,,,
PSOJ183+05,47.2,0.25,0.16,9.29,0.42,0.21,9.41,0.41,0.21,0.62,0.47,0.47,0.48,0.36,0.36,,,,nBAL,nBAL,N/A,,,,,,-0.61630043,0.245034808,,,,,,
PSOJ183-12,47.41,0.07,0.06,9.24,0.1,0.08,9.22,0.17,0.12,1.13,0.29,0.29,1.19,0.43,0.43,25910,330,120,BAL,BAL,N,,,,,,-0.128799157,0.099209901,,,,,,
PSOJ217-16,47.26,0.1,0.08,9.54,0.92,0.27,9.02,0.34,0.19,0.41,0.37,0.37,1.34,0.79,0.79,,,,nBAL,nBAL,N/A,,,,,,-1.010723865,0.279310746,,,,,,
PSOJ217-07,47.13,0.23,0.15,9.35,0.39,0.39,8.9,0.27,0.16,0.46,0.69,0.69,1.3,0.8,0.8,43970,230,430,BAL,EHVO,Y,,,,,,,0.397940009,,,,,,
PSOJ231-20,47.36,0.04,0.04,9.34,0.06,0.05,9.52,0.04,0.04,0.79,0.12,0.12,0.53,0.07,0.07,2680,130,110,BAL,BAL,N,,,,,,-0.071552289,0.061414301,,,,,,
J1535+1943,47.6,0.13,0.1,9.23,0.18,0.13,9.8,0.07,0.06,1.78,0.77,0.77,0.48,0.15,0.15,,,,nBAL,nBAL,N/A,,,,,,-0.246098629,0.156120178,,,,,,
PSOJ239-07,47.46,0.13,0.1,9.68,0.13,0.1,9.42,0.06,0.05,0.46,0.17,0.17,0.83,0.24,0.24,6100,100,120,BAL,BAL,N,,,,,,-0.200359834,0.136582718,,,,,,
PSOJ242-12,47.26,0.17,0.12,9.61,1.05,0.28,9.51,0.13,0.1,0.34,0.33,0.33,0.43,0.18,0.18,,,,nBAL,nBAL,N/A,,,,,,-1.531478917,0.294595886,,,,,,
PSOJ308-27,47.35,0.07,0.06,9.74,0.25,0.16,9.09,0.05,0.05,0.32,0.14,0.14,1.4,0.26,0.26,,,,nBAL,nBAL,N/A,,,,,,-0.249877473,0.157607853,,,,,,
PSOJ323+12,47.27,0.07,0.06,9.26,0.09,0.08,8.92,0.12,0.09,0.78,0.19,0.19,1.73,0.5,0.5,,,,nBAL,nBAL,N/A,,,,,,-0.121242591,0.094677132,,,,,,
VIKJ2211-3206,47.44,0.05,0.04,9.27,0.07,0.06,9.3,0.24,0.15,1.15,0.2,0.2,1.06,0.47,0.47,24340,510,1470,BAL,BAL,N,,,,,,-0.082974235,0.069635928,,,,,,
VDESJ2250-5051,47.44,0.08,0.07,9.99,0.88,0.88,9.66,0.41,0.41,0.22,1.45,1.45,0.46,0.72,0.72,50320,1870,330,BAL,EHVO,Y,,,,,,,0.88029379,,,,,,
SDSSJ2310+18,47.49,0.13,0.1,9.55,0.32,0.32,9.67,0.08,0.06,0.67,0.75,0.75,0.51,0.15,0.15,26890,140,120,BAL,BAL,N,,,,,,,0.326213542,,,,,,
PSOJ359-06,47.3,0.19,0.13,9.23,0.09,0.07,9,0.12,0.09,0.9,0.36,0.36,1.53,0.65,0.65,,,,nBAL,nBAL,N/A,,,,,,-0.22184875,0.146128036,,,,,,
SDSSJ0100+28,48.15,0.04,0.04,9.82,0.45,0.22,10.1,0,0.21,2.94,1.48,1.48,0.77,0.52,0.52,,,,N/A,N/A,N/A,,,,,,-0.303994475,0.177074939,,,,,,
ATLASJ025-33,47.66,0.02,0.02,9.51,0.2,0.13,9.37,0.1,0.17,0.88,0.73,0.73,0.21,0.7,0.7,,,,N/A,N/A,N/A,,,,,,-0.768391413,0.262343204,,,,,,
ULASJ0148+06,47.46,0.04,0.04,9.23,0.07,0.06,9.58,0.06,0.08,0.7,0.26,0.26,0.68,0.13,0.13,,,,N/A,N/A,N/A,,,,,,-0.201645364,0.137173193,,,,,,
PSOJ036+03,47.5,0.05,0.04,9.55,0.05,0.04,9.43,0.07,0.08,0.51,0.32,0.32,0.66,0.2,0.2,,,,N/A,N/A,N/A,,,,,,-0.428816575,0.211507916,,,,,,
QSOJ0439+1634,48.33,0.03,0.03,9.77,0.04,0.03,9.72,0.09,0.07,0.63,0.3,0.3,1.1,0.62,0.62,,,,N/A,N/A,N/A,,,,,,-0.28082661,0.169142399,,,,,,
SDSSJ0818+17,47.56,0.1,0.08,9.55,0.12,0.1,9.76,0.07,0.06,0.4,0.26,0.26,0.6,0.13,0.13,,,,N/A,N/A,N/A,,,,,,-0.455931956,0.217483944,,,,,,
SDSSJ0836+00,47.85,0,0,10.15,0.14,0.11,9.59,0.08,0.13,1.36,0.23,0.23,1.72,0.51,0.51,,,,N/A,N/A,N/A,,,,,,-0.080460465,0.067858216,,,,,,
SDSSJ0927+20,47.08,0.24,0.15,9.28,0.18,0.12,9.11,0.09,0.1,0.48,0.52,0.52,1.01,0.36,0.36,,,,N/A,N/A,N/A,,,,,,,0.318758763,,,,,,
SDSSJ1030+05,47.32,0.14,0.11,9.45,0.12,0.09,9.27,0.09,0.09,0.55,0.15,0.15,0.57,0.31,0.31,,,,N/A,N/A,N/A,,,,,,-0.138302698,0.104735351,,,,,,
SDSSJ1306+03,47.24,0.06,0.05,9.5,0.37,0.2,9.29,0.18,0.09,0.67,0.66,0.66,0.48,0.19,0.19,,,,N/A,N/A,N/A,,,,,,-1.826074803,0.297776838,,,,,,
ULASJ1319+09,47.3,0.08,0.07,9.28,0.45,0.45,9.53,0.11,0.05,0.71,0.49,0.49,0.13,0.09,0.09,,,,N/A,N/A,N/A,,,,,,-0.508835668,0.227922897,,,,,,
CFHQSJ1509-1,47.37,0.08,0.06,9.47,0.33,0.19,9.3,0.17,0.15,6.63,5.37,5.37,0.31,0.39,0.39,,,,N/A,N/A,N/A,,,,,,-0.721142983,0.257667718,,,,,,
